filename,language,transcript
6a71a130-e663-45ec-9d7f-24d4b6ee5fb1_recording-1762334216764.wav,en-US,"{""error"": ""Recognition failed: Connection was closed by the remote host. Error code: 1007. Error details: Language identification only supports 4 languages in DetectAudioAtStart mode SessionId: 65974a3d8d26420f80e68381c5973eab""}"
b386a9e3-844f-4fc0-afb5-31c82e69027d_hi_commentary_03.wav,en-US,"{""error"": ""Recognition failed: Connection was closed by the remote host. Error code: 1007. Error details: Language identification only supports 4 languages in DetectAudioAtStart mode SessionId: 9c071895374046a6a27e5b8f2dbc5066""}"
63ef6397-2e42-430e-9d44-cfa20df4798f_hi_commentary_02.wav,en-US,"{""error"": ""SpeechServiceResponse_AutoDetectSourceLanguageResult""}"
83889ea2-9053-443e-b1d9-8a6b04e0c8e0_hi_commentary_02.wav,en-US,"{""error"": ""SpeechServiceResponse_AutoDetectSourceLanguageResult""}"
d3d046ad-2a15-4e2e-a736-4f1dc0a746c6_hi_commentary_02.wav,en-US,"{""error"": ""SpeechServiceResponse_AutoDetectSourceLanguageResult""}"
66b8b9d3-186f-4517-a9a4-20fa709d166f_hi_commentary_03.wav,en-US,"{""error"": ""SpeechServiceResponse_AutoDetectSourceLanguageResult""}"
68c7d4a3-b728-48d3-94e7-ff3d59c18eb1_hi_commentary_03.wav,en-US,"{""error"": ""SpeechServiceResponse_AutoDetectSourceLanguageResult""}"
82d1bcfe-133d-49c6-906a-51bf6cbb1ac8_hi_commentary_02.wav,auto,"{""error"": ""SpeechServiceResponse_AutoDetectSourceLanguageResult""}"
2e6314d1-46e7-4e94-a382-33d003d8510d_recording-1762335641441.wav,auto,"{""error"": ""SpeechServiceResponse_AutoDetectSourceLanguageResult""}"
8294b7be-7e67-403e-89c9-90e0ad15bb5f_hi_commentary_02.wav,auto,"{""error"": ""SpeechServiceResponse_AutoDetectSourceLanguageResult""}"
2e9a1e30-db1b-41a0-979c-b6f1a462408f_hi_commentary_04.wav,auto,"{""error"": ""SpeechServiceResponse_AutoDetectSourceLanguageResult""}"
6b76de29-b4fb-46ba-92ab-d7618585af79_hi_commentary_01.wav,unknown,केशव के घर में चार खिड़कियां हैं।
311f9cb4-fba6-4001-865c-6f49cc2f0ee2_en_commentary_01.wav,unknown,The Birch canoe slid on the smooth planks.
7388ad4b-683c-42d9-91fa-ac0b6d2d702e_en_commentary_04.wav,unknown,Hoist the load to your left shoulder.
07eb4402-9590-442b-a208-b54b0a4448dc_en_commentary_05.wav,en-IN,A king ruled the state in the early days.
2c792023-93de-40d5-8895-a674b1740ccd_hi_commentary_05.wav,hi-IN,जंगल में कुछ छोटे और कुछ मोटे जानवर नजर आते हैं।
a5254a2d-5a30-40d3-b40e-12c3fd89d3d2_hi_commentary_02.wav,auto,[TRANSCRIPTION ERROR] File not found: Audio file not found: E:\archive\speech_platform\backend\uploads\a5254a2d-5a30-40d3-b40e-12c3fd89d3d2_hi_commentary_02.wav
883b577b-03b3-4480-a0d5-5f385587fcde_hi_commentary_02.wav,hi-IN,नीलाक्षी कक्षा में फिर प्रथम हुई।
4df1ec31-f6ad-45a2-9ace-d52c29f4b06d_hi_commentary_03.wav,hi-IN,शालिनी के पास ₹100 है।
a5231670-d779-4359-8091-f953d8af0f59_hi_commentary_01.wav,hi-IN,केशव के घर में चार खिड़कियां हैं।
7aca4290-f0cc-4abb-b423-097938ed61f4_hi_commentary_01.wav,hi-IN,केशव के घर में चार खिड़कियां हैं।
4777ea1d-5442-414a-b693-4b3bdd5f6348_hi_commentary_01.wav,hi-IN,केशव के घर में चार खिड़कियां हैं।
e0c04188-b8f7-4b3b-bd1b-c4452c882f04_recording-1762338981799.wav,auto,"{""error"": ""No speech recognized.""}"
c77255c3-cb28-4e86-acea-4ea455a7683b_hi_commentary_03.wav,hi-IN,शालिनी के पास ₹100 है।
61e6eaf9-265c-4256-adad-4335c282d6a8_recording-1762338997791.wav,en-IN,"Hello. Hello. Hello. Hi. Hi, hi, hi, hello."
8d3398e4-8391-4928-bf3d-ed0da5874a48_recording-1762339008027.wav,hi-IN,तुम्हारा नियम क्या है?
6c5a2c5f-84ce-4f29-8b38-529088eef004_recording-1762339027266.wav,hi-IN,तुम्हारा नाम क्या है?
4929ffa3-d0b5-440a-bb57-0e867c1ee7ad_recording-1762339045788.wav,te-IN,హలో తుమారా న్యాయం క్యాహ్ క్యాతే హో.
6eb26043-e88a-4f20-907a-850ddbb13766_recording-1762341974955.wav,te-IN,హాయ్ హలో.
4beff0d5-235c-4ad2-bbde-52df839346d4_recording-1762342893665.wav,en-IN,Hello. Hi.
3dfdf667-8cc7-4ff5-954c-902ec5327fe5_recording-1762342903619.wav,en-IN,Hello.
58192526-95f3-4ab3-a079-2ff55e274ab6_recording-1762346752961.wav,auto,"{""error"": ""No speech recognized.""}"
1bbaac4b-fda3-4b36-9770-d2a5440d747e_recording-1762346826877.wav,auto,"{""error"": ""No speech recognized.""}"
604c2423-7913-4f6c-9063-34ad5846a8f2_recording-1762346900057.wav,ta-IN,ஹலோ ஹலோ.
a8df7105-2238-4bc8-b383-63dc4618697b_recording-1762347499388.wav,ta-IN,ஹலோ ஹாய்.
496a57b5-0fd3-4b3e-afcf-ce95faa63950_recording-1762348880898.wav,auto,"{""error"": ""No speech recognized.""}"
3da067a5-fd04-4d1b-b2a8-8b253da6cc54_recording-1762348888589.wav,en-IN,Hi.
408feb18-202e-4eb2-a585-cedc77541cd1_recording-1762348899662.wav,en-IN,Hi. Hello. How are you? Hi. Hi. Hi.
6ad5420c-c899-4e36-b00f-36240b5133d0_recording-1762349083076.wav,auto,"{""error"": ""ffmpeg error (see stderr output for detail)""}"
a87187b0-7652-4fc1-85b0-334fcfa1494b_recording-1762349091132.wav,en-IN,Hello. Hi.
c45a6c82-590e-44c5-84c0-5677b75533a3_recording-1762349144510.wav,en-IN,Hi. Hello.
f1f43933-c9b6-4677-932e-e27607dbefc5_recording-1762349156659.wav,en-IN,Hi. Hello.
da1fa75b-d67e-488b-bf91-53f796d98518_recording-1762349161390.wav,auto,"{""error"": ""ffmpeg error (see stderr output for detail)""}"
08681694-f999-4002-8767-634f969d97ff_recording-1762349169439.wav,hi-IN,हाय हाय हाय हैलो हैलो।
8c3876c5-dd0b-4288-83db-7a771bcd5450_recording-1762349178454.wav,en-IN,How are you?
b87ac63f-cf37-4970-b824-e715aba96217_recording-1762349203960.wav,en-IN,"Stop recording to upload a file. Supports MP 3, wave M4, a FLAC, AAC transcripts file name milestone 12345."
